sep=;
"Version";"4";;;
"Language";"en-US";;;
"Local export date";"29.12.2024 10:12:31";;;
"Export UTC date";"2024-12-29T09:12:31.819Z";;;
"Time zone";"Europe/Berlin";;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;
"Time period";"Total consumption [kW]";"Base load [kW]";"Total generation [kW]";"PV generation [kW]"
"08/02/2024 12.15 AM";"0.18";"0.18";"0.00";"0.00"
"08/02/2024 12.30 AM";"0.23";"0.23";"0.00";"0.00"
"08/02/2024 12.45 AM";"0.22";"0.22";"0.00";"0.00"
"08/02/2024 01.00 AM";"0.20";"0.20";"0.00";"0.00"
"08/02/2024 01.15 AM";"0.26";"0.26";"0.00";"0.00"
"08/02/2024 01.30 AM";"0.28";"0.28";"0.00";"0.00"
"08/02/2024 01.45 AM";"0.21";"0.21";"0.00";"0.00"
"08/02/2024 02.00 AM";"0.19";"0.19";"0.00";"0.00"
"08/02/2024 02.15 AM";"0.25";"0.25";"0.00";"0.00"
"08/02/2024 02.30 AM";"0.22";"0.22";"0.00";"0.00"
"08/02/2024 02.45 AM";"0.13";"0.13";"0.00";"0.00"
"08/02/2024 03.00 AM";"0.11";"0.11";"0.00";"0.00"
"08/02/2024 03.15 AM";"0.17";"0.17";"0.00";"0.00"
"08/02/2024 03.30 AM";"0.19";"0.19";"0.00";"0.00"
"08/02/2024 03.45 AM";"0.13";"0.13";"0.00";"0.00"
"08/02/2024 04.00 AM";"0.13";"0.13";"0.00";"0.00"
"08/02/2024 04.15 AM";"0.27";"0.27";"0.00";"0.00"
"08/02/2024 04.30 AM";"0.28";"0.28";"0.00";"0.00"
"08/02/2024 04.45 AM";"0.21";"0.21";"0.00";"0.00"
"08/02/2024 05.00 AM";"0.20";"0.20";"0.00";"0.00"
"08/02/2024 05.15 AM";"0.26";"0.26";"0.00";"0.00"
"08/02/2024 05.30 AM";"0.28";"0.28";"0.00";"0.00"
"08/02/2024 05.45 AM";"0.20";"0.20";"0.00";"0.00"
"08/02/2024 06.00 AM";"0.17";"0.17";"0.00";"0.00"
"08/02/2024 06.15 AM";"0.18";"0.18";"0.00";"0.00"
"08/02/2024 06.30 AM";"0.19";"0.19";"0.00";"0.00"
"08/02/2024 06.45 AM";"0.16";"0.16";"0.00";"0.00"
"08/02/2024 07.00 AM";"0.26";"0.26";"0.04";"0.04"
"08/02/2024 07.15 AM";"0.36";"0.36";"0.17";"0.17"
"08/02/2024 07.30 AM";"0.30";"0.30";"0.16";"0.16"
"08/02/2024 07.45 AM";"0.22";"0.22";"0.21";"0.21"
"08/02/2024 08.00 AM";"1.03";"1.03";"0.29";"0.29"
"08/02/2024 08.15 AM";"2.90";"2.90";"0.67";"0.67"
"08/02/2024 08.30 AM";"2.92";"2.92";"0.63";"0.63"
"08/02/2024 08.45 AM";"2.86";"2.86";"0.39";"0.39"
"08/02/2024 09.00 AM";"2.85";"2.85";"0.54";"0.54"
"08/02/2024 09.15 AM";"2.90";"2.90";"1.90";"1.90"
"08/02/2024 09.30 AM";"2.85";"2.85";"1.14";"1.14"
"08/02/2024 09.45 AM";"2.78";"2.78";"1.13";"1.13"
"08/02/2024 10.00 AM";"2.77";"2.77";"1.40";"1.40"
"08/02/2024 10.15 AM";"2.85";"2.85";"1.08";"1.08"
"08/02/2024 10.30 AM";"2.86";"2.86";"0.40";"0.40"
"08/02/2024 10.45 AM";"2.77";"2.77";"0.78";"0.78"
"08/02/2024 11.00 AM";"2.84";"2.84";"1.54";"1.54"
"08/02/2024 11.15 AM";"2.94";"2.94";"1.27";"1.27"
"08/02/2024 11.30 AM";"2.94";"2.94";"0.89";"0.89"
"08/02/2024 11.45 AM";"2.86";"2.86";"0.87";"0.87"
"08/02/2024 12.00 PM";"2.85";"2.85";"1.69";"1.69"
"08/02/2024 12.15 PM";"2.93";"2.93";"2.45";"2.45"
"08/02/2024 12.30 PM";"2.93";"2.93";"2.51";"2.51"
"08/02/2024 12.45 PM";"2.81";"2.81";"2.82";"2.82"
"08/02/2024 01.00 PM";"2.78";"2.78";"2.74";"2.74"
"08/02/2024 01.15 PM";"2.84";"2.84";"2.73";"2.73"
"08/02/2024 01.30 PM";"2.77";"2.77";"2.77";"2.77"
"08/02/2024 01.45 PM";"2.78";"2.78";"2.78";"2.78"
"08/02/2024 02.00 PM";"2.86";"2.86";"2.85";"2.85"
"08/02/2024 02.15 PM";"2.81";"2.81";"2.81";"2.81"
"08/02/2024 02.30 PM";"2.89";"2.89";"2.89";"2.89"
"08/02/2024 02.45 PM";"2.97";"2.97";"2.97";"2.97"
"08/02/2024 03.00 PM";"2.90";"2.90";"2.90";"2.90"
"08/02/2024 03.15 PM";"2.90";"2.90";"2.90";"2.90"
"08/02/2024 03.30 PM";"2.96";"2.96";"2.96";"2.96"
"08/02/2024 03.45 PM";"2.88";"2.88";"2.88";"2.88"
"08/02/2024 04.00 PM";"2.89";"2.89";"2.89";"2.89"
"08/02/2024 04.15 PM";"2.88";"2.88";"2.88";"2.88"
"08/02/2024 04.30 PM";"2.81";"2.81";"2.81";"2.81"
"08/02/2024 04.45 PM";"2.83";"2.83";"2.83";"2.83"
"08/02/2024 05.00 PM";"2.91";"2.91";"2.91";"2.91"
"08/02/2024 05.15 PM";"2.83";"2.83";"2.83";"2.83"
"08/02/2024 05.30 PM";"2.85";"2.85";"2.85";"2.85"
"08/02/2024 05.45 PM";"3.00";"3.00";"3.00";"3.00"
"08/02/2024 06.00 PM";"2.93";"2.93";"2.93";"2.93"
"08/02/2024 06.15 PM";"2.93";"2.93";"2.93";"2.93"
"08/02/2024 06.30 PM";"3.00";"3.00";"3.00";"3.00"
"08/02/2024 06.45 PM";"2.93";"2.93";"2.93";"2.93"
"08/02/2024 07.00 PM";"2.94";"2.94";"2.94";"2.94"
"08/02/2024 07.15 PM";"3.01";"3.01";"3.01";"3.01"
"08/02/2024 07.30 PM";"2.91";"2.91";"2.91";"2.91"
"08/02/2024 07.45 PM";"2.87";"2.87";"2.79";"2.79"
"08/02/2024 08.00 PM";"2.91";"2.91";"1.66";"1.66"
"08/02/2024 08.15 PM";"2.46";"2.46";"0.42";"0.42"
"08/02/2024 08.30 PM";"0.88";"0.88";"0.29";"0.29"
"08/02/2024 08.45 PM";"0.54";"0.54";"0.14";"0.14"
"08/02/2024 09.00 PM";"0.42";"0.42";"0.04";"0.04"
"08/02/2024 09.15 PM";"0.33";"0.33";"0.00";"0.00"
"08/02/2024 09.30 PM";"0.36";"0.36";"0.00";"0.00"
"08/02/2024 09.45 PM";"0.43";"0.43";"0.00";"0.00"
"08/02/2024 10.00 PM";"0.41";"0.41";"0.00";"0.00"
"08/02/2024 10.15 PM";"0.36";"0.36";"0.00";"0.00"
"08/02/2024 10.30 PM";"0.33";"0.33";"0.00";"0.00"
"08/02/2024 10.45 PM";"0.35";"0.35";"0.00";"0.00"
"08/02/2024 11.00 PM";"0.28";"0.28";"0.00";"0.00"
"08/02/2024 11.15 PM";"0.21";"0.21";"0.00";"0.00"
"08/02/2024 11.30 PM";"0.24";"0.24";"0.00";"0.00"
"08/02/2024 11.45 PM";"0.31";"0.31";"0.00";"0.00"
"08/03/2024 12.00 AM";"0.28";"0.28";"0.00";"0.00"
"08/03/2024 12.15 AM";"0.24";"0.24";"0.00";"0.00"
