sep=;
"Version";"4";;;;
"Language";"en-US";;;;
"Local export date";"29.12.2024 10:15:48";;;;
"Export UTC date";"2024-12-29T09:15:48.340Z";;;;
"Time zone";"Europe/Berlin";;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;
"Time period";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"10/11/2024 12.15 AM";"130";"295";"166";"0";"0"
"10/11/2024 12.30 AM";"149";"313";"164";"0";"0"
"10/11/2024 12.45 AM";"90";"179";"89";"0";"0"
"10/11/2024 01.00 AM";"73";"157";"84";"0";"0"
"10/11/2024 01.15 AM";"132";"218";"85";"0";"0"
"10/11/2024 01.30 AM";"151";"236";"85";"0";"0"
"10/11/2024 01.45 AM";"88";"172";"84";"0";"0"
"10/11/2024 02.00 AM";"73";"157";"84";"0";"0"
"10/11/2024 02.15 AM";"134";"280";"146";"0";"0"
"10/11/2024 02.30 AM";"151";"327";"176";"0";"0"
"10/11/2024 02.45 AM";"86";"259";"173";"0";"0"
"10/11/2024 03.00 AM";"73";"241";"168";"0";"0"
"10/11/2024 03.15 AM";"136";"302";"166";"0";"0"
"10/11/2024 03.30 AM";"152";"316";"163";"0";"0"
"10/11/2024 03.45 AM";"1,256";"1,342";"87";"0";"0"
"10/11/2024 04.00 AM";"3,638";"3,741";"103";"0";"0"
"10/11/2024 04.15 AM";"3,947";"4,056";"109";"0";"0"
"10/11/2024 04.30 AM";"4,061";"4,170";"109";"0";"0"
"10/11/2024 04.45 AM";"452";"541";"89";"0";"0"
"10/11/2024 05.00 AM";"72";"156";"84";"0";"0"
"10/11/2024 05.15 AM";"138";"285";"147";"0";"0"
"10/11/2024 05.30 AM";"147";"323";"176";"0";"0"
"10/11/2024 05.45 AM";"78";"251";"173";"0";"0"
"10/11/2024 06.00 AM";"73";"242";"169";"0";"0"
"10/11/2024 06.15 AM";"142";"309";"167";"0";"0"
"10/11/2024 06.30 AM";"149";"313";"164";"0";"0"
"10/11/2024 06.45 AM";"75";"164";"88";"0";"0"
"10/11/2024 07.00 AM";"72";"157";"85";"0";"0"
"10/11/2024 07.15 AM";"146";"452";"306";"0";"0"
"10/11/2024 07.30 AM";"151";"978";"827";"0";"0"
"10/11/2024 07.45 AM";"73";"385";"312";"0";"0"
"10/11/2024 08.00 AM";"73";"356";"283";"100";"100"
"10/11/2024 08.15 AM";"147";"340";"193";"231";"231"
"10/11/2024 08.30 AM";"150";"339";"189";"280";"280"
"10/11/2024 08.45 AM";"73";"239";"166";"166";"166"
"10/11/2024 09.00 AM";"2,279";"2,383";"104";"377";"377"
"10/11/2024 09.15 AM";"3,774";"3,892";"118";"898";"898"
"10/11/2024 09.30 AM";"3,975";"4,083";"108";"1,771";"1,771"
"10/11/2024 09.45 AM";"4,057";"4,148";"91";"2,171";"2,171"
"10/11/2024 10.00 AM";"425";"511";"86";"2,560";"2,560"
"10/11/2024 10.15 AM";"73";"490";"417";"3,049";"3,049"
"10/11/2024 10.30 AM";"141";"2,689";"2,548";"2,957";"2,957"
"10/11/2024 10.45 AM";"149";"2,722";"2,573";"2,190";"2,190"
"10/11/2024 11.00 AM";"78";"1,675";"1,597";"1,771";"1,771"
"10/11/2024 11.15 AM";"161";"693";"532";"2,757";"2,757"
"10/11/2024 11.30 AM";"3,503";"6,168";"2,665";"3,971";"3,971"
"10/11/2024 11.45 AM";"3,585";"5,140";"1,556";"2,317";"2,317"
"10/11/2024 12.00 PM";"888";"1,183";"295";"2,313";"2,313"
"10/11/2024 12.15 PM";"607";"873";"267";"2,418";"2,418"
"10/11/2024 12.30 PM";"1,409";"1,757";"348";"3,540";"3,540"
"10/11/2024 12.45 PM";"174";"2,880";"2,706";"5,896";"5,896"
"10/11/2024 01.00 PM";"123";"2,796";"2,672";"3,545";"3,545"
"10/11/2024 01.15 PM";"569";"2,817";"2,248";"6,136";"6,136"
"10/11/2024 01.30 PM";"1,534";"4,008";"2,474";"6,769";"6,769"
"10/11/2024 01.45 PM";"120";"374";"254";"1,647";"1,647"
"10/11/2024 02.00 PM";"1,637";"1,745";"108";"1,966";"1,966"
"10/11/2024 02.15 PM";"2,862";"2,954";"92";"2,724";"2,724"
"10/11/2024 02.30 PM";"75";"2,058";"1,983";"2,786";"2,786"
"10/11/2024 02.45 PM";"96";"2,559";"2,463";"5,451";"5,451"
"10/11/2024 03.00 PM";"147";"2,715";"2,568";"6,514";"6,514"
"10/11/2024 03.15 PM";"124";"1,635";"1,511";"4,238";"4,238"
"10/11/2024 03.30 PM";"73";"236";"163";"2,297";"2,297"
"10/11/2024 03.45 PM";"97";"668";"570";"2,154";"2,154"
"10/11/2024 04.00 PM";"149";"1,467";"1,318";"2,112";"2,112"
"10/11/2024 04.15 PM";"123";"1,054";"931";"2,181";"2,181"
"10/11/2024 04.30 PM";"114";"1,026";"912";"3,295";"3,295"
"10/11/2024 04.45 PM";"3,451";"6,413";"2,963";"3,608";"3,608"
"10/11/2024 05.00 PM";"3,199";"4,116";"917";"2,064";"2,064"
"10/11/2024 05.15 PM";"75";"865";"791";"2,046";"2,046"
"10/11/2024 05.30 PM";"93";"1,546";"1,454";"1,099";"1,099"
"10/11/2024 05.45 PM";"146";"584";"437";"587";"587"
"10/11/2024 06.00 PM";"125";"358";"233";"435";"435"
"10/11/2024 06.15 PM";"72";"301";"229";"305";"305"
"10/11/2024 06.30 PM";"93";"585";"491";"117";"117"
"10/11/2024 06.45 PM";"145";"492";"347";"9";"9"
"10/11/2024 07.00 PM";"122";"939";"817";"0";"0"
"10/11/2024 07.15 PM";"72";"790";"718";"0";"0"
"10/11/2024 07.30 PM";"96";"524";"429";"0";"0"
"10/11/2024 07.45 PM";"147";"572";"425";"0";"0"
"10/11/2024 08.00 PM";"123";"595";"472";"0";"0"
"10/11/2024 08.15 PM";"76";"331";"255";"0";"0"
"10/11/2024 08.30 PM";"102";"240";"138";"0";"0"
"10/11/2024 08.45 PM";"936";"1,164";"228";"0";"0"
"10/11/2024 09.00 PM";"3,674";"3,889";"214";"0";"0"
"10/11/2024 09.15 PM";"3,930";"4,153";"223";"0";"0"
"10/11/2024 09.30 PM";"4,012";"4,217";"205";"0";"0"
"10/11/2024 09.45 PM";"4,076";"4,274";"198";"0";"0"
"10/11/2024 10.00 PM";"638";"812";"174";"0";"0"
"10/11/2024 10.15 PM";"73";"160";"87";"0";"0"
"10/11/2024 10.30 PM";"134";"220";"86";"0";"0"
"10/11/2024 10.45 PM";"147";"355";"209";"0";"0"
"10/11/2024 11.00 PM";"81";"166";"85";"0";"0"
"10/11/2024 11.15 PM";"73";"227";"154";"0";"0"
"10/11/2024 11.30 PM";"138";"312";"174";"0";"0"
"10/11/2024 11.45 PM";"148";"319";"171";"0";"0"
"10/12/2024 12.00 AM";"80";"248";"168";"0";"0"
"10/12/2024 12.15 AM";"73";"240";"167";"0";"0"
"10/12/2024 12.30 AM";"360";"454";"93";"0";"0"
"10/12/2024 12.45 AM";"3,811";"3,913";"102";"0";"0"
"10/12/2024 01.00 AM";"5,493";"5,608";"115";"0";"0"
"10/12/2024 01.15 AM";"5,820";"5,936";"116";"0";"0"
"10/12/2024 01.30 AM";"723";"835";"111";"0";"0"
"10/12/2024 01.45 AM";"73";"252";"179";"0";"0"
