sep=;
"Version";"4";;;;;
"Language";"en-US";;;;;
"Local export date";"29.12.2024 10:16:40";;;;;
"Export UTC date";"2024-12-29T09:16:40.489Z";;;;;
"Time zone";"Europe/Berlin";;;;;
"User name";"Name";;;
"Level";"System";;;
"System ID";"0815";;;
"System name";"0815_Name";;;
"";"";;;;;
"Time period";"Bad Heizkörper [W]";"Heizung WP Verb [W]";"Total consumption [W]";"Base load [W]";"Total generation [W]";"PV generation [W]"
"11/15/2024 12.15 AM";"0";"4,024";"4,115";"92";"0";"0"
"11/15/2024 12.30 AM";"0";"4,217";"4,313";"96";"0";"0"
"11/15/2024 12.45 AM";"0";"2,140";"2,251";"111";"0";"0"
"11/15/2024 01.00 AM";"0";"87";"262";"175";"0";"0"
"11/15/2024 01.15 AM";"0";"123";"293";"170";"0";"0"
"11/15/2024 01.30 AM";"0";"159";"325";"166";"0";"0"
"11/15/2024 01.45 AM";"0";"120";"267";"148";"0";"0"
"11/15/2024 02.00 AM";"0";"86";"169";"83";"0";"0"
"11/15/2024 02.15 AM";"0";"3,053";"3,142";"89";"0";"0"
"11/15/2024 02.30 AM";"0";"4,182";"4,277";"95";"0";"0"
"11/15/2024 02.45 AM";"0";"1,684";"1,776";"91";"0";"0"
"11/15/2024 03.00 AM";"0";"85";"168";"83";"0";"0"
"11/15/2024 03.15 AM";"0";"129";"269";"140";"0";"0"
"11/15/2024 03.30 AM";"0";"158";"332";"174";"0";"0"
"11/15/2024 03.45 AM";"0";"458";"634";"176";"0";"0"
"11/15/2024 04.00 AM";"0";"3,637";"3,809";"172";"0";"0"
"11/15/2024 04.15 AM";"0";"2,863";"3,005";"141";"0";"0"
"11/15/2024 04.30 AM";"0";"86";"169";"83";"0";"0"
"11/15/2024 04.45 AM";"0";"109";"190";"82";"0";"0"
"11/15/2024 05.00 AM";"0";"156";"238";"82";"0";"0"
"11/15/2024 05.15 AM";"0";"236";"323";"87";"0";"0"
"11/15/2024 05.30 AM";"0";"3,442";"3,534";"91";"0";"0"
"11/15/2024 05.45 AM";"0";"3,428";"3,674";"246";"0";"0"
"11/15/2024 06.00 AM";"0";"87";"394";"307";"0";"0"
"11/15/2024 06.15 AM";"0";"99";"400";"302";"0";"0"
"11/15/2024 06.30 AM";"0";"156";"455";"299";"0";"0"
"11/15/2024 06.45 AM";"0";"386";"628";"243";"0";"0"
"11/15/2024 07.00 AM";"0";"3,500";"3,832";"332";"0";"0"
"11/15/2024 07.15 AM";"0";"4,045";"4,203";"158";"0";"0"
"11/15/2024 07.30 AM";"0";"88";"804";"716";"0";"0"
"11/15/2024 07.45 AM";"0";"89";"420";"331";"67";"67"
"11/15/2024 08.00 AM";"0";"155";"814";"659";"346";"346"
"11/15/2024 08.15 AM";"0";"239";"886";"647";"561";"561"
"11/15/2024 08.30 AM";"0";"3,431";"3,762";"331";"529";"529"
"11/15/2024 08.45 AM";"0";"3,508";"3,820";"312";"544";"544"
"11/15/2024 09.00 AM";"0";"88";"333";"245";"489";"489"
"11/15/2024 09.15 AM";"0";"314";"549";"235";"501";"501"
"11/15/2024 09.30 AM";"0";"880";"1,255";"376";"674";"674"
"11/15/2024 09.45 AM";"0";"1,552";"2,071";"519";"794";"794"
"11/15/2024 10.00 AM";"302";"864";"1,245";"79";"1,010";"1,010"
"11/15/2024 10.15 AM";"451";"684";"1,298";"162";"1,124";"1,124"
"11/15/2024 10.30 AM";"260";"2,390";"2,822";"172";"1,145";"1,145"
"11/15/2024 10.45 AM";"0";"4,249";"4,423";"175";"1,023";"1,023"
"11/15/2024 11.00 AM";"0";"2,018";"2,173";"155";"1,039";"1,039"
"11/15/2024 11.15 AM";"302";"994";"1,368";"72";"1,539";"1,539"
"11/15/2024 11.30 AM";"497";"146";"721";"78";"1,847";"1,847"
"11/15/2024 11.45 AM";"444";"163";"687";"81";"1,800";"1,800"
"11/15/2024 12.00 PM";"332";"97";"510";"80";"1,339";"1,339"
"11/15/2024 12.15 PM";"322";"85";"489";"82";"1,049";"1,049"
"11/15/2024 12.30 PM";"309";"327";"789";"152";"978";"978"
"11/15/2024 12.45 PM";"0";"3,516";"3,689";"173";"899";"899"
"11/15/2024 01.00 PM";"250";"2,992";"3,434";"192";"908";"908"
"11/15/2024 01.15 PM";"394";"86";"636";"156";"819";"819"
"11/15/2024 01.30 PM";"290";"106";"481";"85";"808";"808"
"11/15/2024 01.45 PM";"187";"158";"433";"88";"749";"749"
"11/15/2024 02.00 PM";"0";"135";"214";"79";"681";"681"
"11/15/2024 02.15 PM";"0";"84";"165";"81";"705";"705"
"11/15/2024 02.30 PM";"0";"864";"951";"87";"623";"623"
"11/15/2024 02.45 PM";"0";"3,849";"4,158";"309";"518";"518"
"11/15/2024 03.00 PM";"0";"2,079";"2,273";"194";"372";"372"
"11/15/2024 03.15 PM";"123";"85";"440";"232";"261";"261"
"11/15/2024 03.30 PM";"0";"123";"585";"462";"164";"164"
"11/15/2024 03.45 PM";"0";"156";"2,269";"2,112";"100";"100"
"11/15/2024 04.00 PM";"0";"116";"2,144";"2,028";"62";"62"
"11/15/2024 04.15 PM";"0";"2,037";"2,364";"327";"32";"32"
"11/15/2024 04.30 PM";"0";"4,174";"4,655";"481";"6";"6"
"11/15/2024 04.45 PM";"0";"1,464";"1,750";"286";"0";"0"
"11/15/2024 05.00 PM";"0";"83";"417";"334";"0";"0"
"11/15/2024 05.15 PM";"0";"133";"481";"348";"0";"0"
"11/15/2024 05.30 PM";"0";"159";"520";"361";"0";"0"
"11/15/2024 05.45 PM";"0";"108";"360";"252";"0";"0"
"11/15/2024 06.00 PM";"0";"86";"1,230";"1,144";"0";"0"
"11/15/2024 06.15 PM";"0";"2,954";"3,208";"253";"0";"0"
"11/15/2024 06.30 PM";"0";"4,144";"4,393";"250";"0";"0"
"11/15/2024 06.45 PM";"0";"91";"257";"167";"0";"0"
"11/15/2024 07.00 PM";"0";"1,617";"1,817";"200";"0";"0"
"11/15/2024 07.15 PM";"0";"4,068";"4,374";"306";"0";"0"
"11/15/2024 07.30 PM";"0";"2,160";"2,711";"551";"0";"0"
"11/15/2024 07.45 PM";"0";"85";"423";"338";"0";"0"
"11/15/2024 08.00 PM";"0";"120";"455";"334";"0";"0"
"11/15/2024 08.15 PM";"0";"158";"490";"333";"0";"0"
"11/15/2024 08.30 PM";"0";"365";"685";"320";"0";"0"
"11/15/2024 08.45 PM";"0";"3,525";"3,789";"263";"0";"0"
"11/15/2024 09.00 PM";"0";"4,175";"4,433";"259";"0";"0"
"11/15/2024 09.15 PM";"0";"3,542";"3,744";"202";"0";"0"
"11/15/2024 09.30 PM";"0";"90";"404";"314";"0";"0"
"11/15/2024 09.45 PM";"0";"100";"274";"174";"0";"0"
"11/15/2024 10.00 PM";"0";"159";"364";"205";"0";"0"
"11/15/2024 10.15 PM";"0";"147";"339";"192";"0";"0"
"11/15/2024 10.30 PM";"0";"89";"265";"176";"0";"0"
"11/15/2024 10.45 PM";"0";"104";"246";"142";"0";"0"
"11/15/2024 11.00 PM";"0";"169";"258";"90";"0";"0"
"11/15/2024 11.15 PM";"0";"3,262";"3,368";"105";"0";"0"
"11/15/2024 11.30 PM";"0";"4,031";"4,129";"98";"0";"0"
"11/15/2024 11.45 PM";"0";"4,206";"4,388";"181";"0";"0"
